surgeon 2.77 2.82 0.81 2.77 2.82 0.81
survivor 2.38 2.41 1.42 2.38 2.41 1.42
suspect -1.10 -0.79 -0.35 -1.10 -0.79 -0.35
sweetheart 2.80 1.52 0.73 2.80 1.52 0.73
swinger -0.66 0.28 1.58 -0.66 0.28 1.58
taxpayer 1.08 0.16 -0.16 1.08 0.16 -0.16
teacher 2.65 2.09 0.96 2.65 2.09 0.96
teammate 2.07 1.71 1.50 2.07 1.71 1.50
tease -0.86 0.38 0.69 -0.86 0.38 0.69
teenager 0.74 -0.49 1.88 0.74 -0.49 1.88
temporary_worker 0.31 -0.94 -0.11 0.31 -0.94 -0.11
tenant 0.76 -0.48 0.00 0.76 -0.48 0.00
terrorist -3.48 0.41 0.44 -3.48 0.41 0.44
thug -2.00 0.49 1.02 -2.00 0.49 1.02
toady -0.60 -0.74 0.08 -0.60 -0.74 0.08
toddler 2.04 -1.29 1.89 2.04 -1.29 1.89
tomboy 0.20 0.46 0.92 0.20 0.46 0.92
tot 1.43 -1.00 1.23 1.43 -1.00 1.23
trainee 0.88 -0.91 -0.26 0.88 -0.91 -0.26
traitor -2.58 -0.50 -0.41 -2.58 -0.50 -0.41
traveler 1.60 0.49 0.95 1.60 0.49 0.95
troublemaker -1.86 0.42 1.57 -1.86 0.42 1.57
truant -1.11 -0.33 -0.05 -1.11 -0.33 -0.05
